t_index,term,df
1606,carpet,5
1607,carpetbagg,2
1608,carr,1
1609,carri,183
1610,carrier,20
1611,carrol,2
1612,carrot,1
1613,carson,5
1614,cart,1
1615,carter,10
1616,carthag,2
1617,carv,9
1618,carver,1
1619,case,169
1620,casetch,1
1621,cash,24
1622,cashier,1
1623,casino,1
1624,casket,16
1625,cast,47
1626,castellano,2
1627,castiel,1
1628,castil,1
1629,castleburi,4
1630,castro,9
1631,casual,2
1632,casualti,22
1633,cat,2
1634,cataclysm,1
1635,catalyst,1
1636,catastroph,12
1637,catcal,1
1638,catch,16
1639,cate,4
1640,categor,1
1641,categori,1
1642,caterpillar,2
1643,cathedr,1
1644,catherin,3
1645,cathi,1
1646,cathol,7
1647,catholicrelief,1
1648,cattl,2
1649,caucasian,2
1650,caught,46
1651,caus,86
1652,caution,18
1653,cautiou,19
1654,cautious,2
1655,cave,3
1656,cavern,1
1657,cavort,1
1658,cawl,3
1659,cayman,3
1660,cb,6
1661,cd,1
1662,ceas,14
1663,ceaselessli,2
1664,ceausescu,1
1665,cecil,1
1666,cedar,2
1667,cede,3
1668,cedomir,1
1669,cedric,6
1670,ceil,2
1671,celebr,83
1672,celebrateor,1
1673,celera,1
1674,celest,1
1675,cell,23
1676,cellblock,1
1677,cellphon,2
1678,cellular,10
1679,cement,7
1680,cemeteri,8
1681,censor,2
1682,censorship,2
1683,cent,1
1684,centcom,2
1685,center,145
1686,centerpiec,2
1687,centigrad,1
1688,centimet,1
1689,central,85
1690,centrist,6
